"";"Methode";"alpha";"beta";"sigma2"
"46";"Moy";-0,144901783533518;0,879737713948396;0,0769401151703688
"47";"Reg. Lin.";-0,106194563953658;1,07156519399189;0,0551513106054415
"48";"Reg. Lin. Sto.";-0,10118317858073;1,07475324107399;0,248030386767943
"49";"EM";-0,000129861485286962;1,00802055461629;0,13889419905287
"50";"Boot";0,00479690020346077;0,998796259649067;0,180612759541544
"51";"Bayes";-0,000975364469417228;0,95485126250331;0,461950394676072
"52";"Moy";-0,0466910508912479;0,649553674501697;0,0767527781039252
"53";"Reg. Lin.";-0,000338101195771989;1,0080179098536;0,0453875394400655
"54";"Reg. Lin. Sto.";0,000315057696230709;1,00409728307891;0,159100848823994
"55";"EM";-0,0475176751782227;1,10135974573817;0,184909750462753
"56";"Boot";-0,138705093413225;1,09181975738129;0,241313327499514
"57";"Bayes";0,0009111603621121;0,972915245546286;0,553333811015109
"58";"Moy";-0,104012008617022;0,848689291822873;0,0761858853725804
"59";"Reg. Lin.";-0,123580984190377;1,1020711965803;0,0515091728313155
"60";"Reg. Lin. Sto.";-0,126747957617205;1,10564112876171;0,211554681724426
"61";"EM";-0,00569277049095807;0,829848728201716;0,11612372542952
"62";"Boot";0,0100829452198112;0,816284278244663;0,152313805355611
"63";"Bayes";0,000860267441304159;0,953808178452002;0,447617724599843
"64";"Moy";0,0860408242778358;0,535014742751741;0,0661594411649417
"65";"Reg. Lin.";-0,0149828051387706;0,830950381377295;0,0412582667879771
"66";"Reg. Lin. Sto.";-0,0193283135905443;0,827048054791648;0,130764766200863
"67";"EM";0,0222769985588652;1,0185372208276;0,228564295555634
"68";"Boot";0,0535552120472886;1,01597991252027;0,304820454125362
"69";"Bayes";0,000680514652030748;0,971915828114457;0,585770667794636
"70";"Moy";0,0670072007682098;0,647276301180801;0,0855328354813083
"71";"Reg. Lin.";0,0579530164487915;1,01800655612829;0,0578555807380703
"72";"Reg. Lin. Sto.";0,0484829973647504;1,02286968272679;0,276615091329013
